#,Mod名,文件名,端,可选,下载源,下载链接,GitHub,说明
60,Phone Generator,phone_generator-1.0.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-phone-generator/phone-generator-22.jar,,Phone Generator by 摇就对了 / Build #22 / 扫描发电机二维码，与发电机完成配对，大力摇动手机进行发电
61,Player Animation Library,PlayerAnimationLibMerged-1.2.3+mc.26.1.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/extra/PlayerAnimationLibMerged-1.2.3%2Bmc.26.1.f151e6ce.jar,,Mod dependency of Player Animation Library / Managed by Biluochun
62,PowerTool NeoForge 26.1,PowerTool-NeoForge-26.1-1.5.30.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/PowerTool-NeoForge-26.1/1.5.30/PowerTool-NeoForge-26.1-1.5.30.jar,,Mod dependency of PowerTool NeoForge 26.1 / Included inside official TeaCon mod list
63,ProjectMe 26.1.2,ProjectMe-26.1.2-0.5.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/cn/zbx1425/ProjectMe-26.1.2/0.5.0/ProjectMe-26.1.2-0.5.0.jar,,Mod dependency of ProjectMe 26.1.2 / Included inside official TeaCon mod list
64,puzzles lib,puzzles-lib-26.1.11.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/maven/modrinth/puzzles-lib/26.1.11/puzzles-lib-26.1.11.jar,https://github.com/Fuzss/puzzleslib,Mod dependency of puzzles lib / Included inside official TeaCon mod list
65,Shake n Stir,shakenstir-1.0.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-shakenstir/shakenstir-63.jar,,Shake n Stir by hawah / Build #63 / 真希望能在游戏中也恣意调酒！ / 怀着这样的愿景，本模组加入了完整的调酒玩法。玩家可以通过拟真的调酒流程，自由调制各种饮品，与朋
66,SignMeUp NeoForge 26.1,SignMeUp-NeoForge-26.1-1.1.12.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/SignMeUp-NeoForge-26.1/1.1.12/SignMeUp-NeoForge-26.1-1.1.12.jar,,Mod dependency of SignMeUp NeoForge 26.1 / Included inside official TeaCon mod list
67,Sip Moment,sip_moment-1.0.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-sip-moment/sip-moment-14.jar,,Sip Moment by 小酌一刻开发组 / Build #14 / 模组添加一些饮品，这一杯，这一刻，让心相连。
68,SlideShow NeoForge 26.1.2,SlideShow-NeoForge-26.1.2-0.10.11.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/SlideShow-NeoForge-26.1.2/0.10.11/SlideShow-NeoForge-26.1.2-0.10.11.jar,,Mod dependency of SlideShow NeoForge 26.1.2 / Included inside official TeaCon mod list
69,Sodium,sodium-neoforge-0.8.12+mc26.1.2.jar,client,Y,cdn.modrinth.com,https://cdn.modrinth.com/data/AANobbMI/versions/775xoFNg/sodium-neoforge-0.8.12%2Bmc26.1.2.jar,https://github.com/CaffeineMC/sodium,Optional client-side rendering optimization.
70,spark,spark-1.10.172-neoforge.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/maven/modrinth/spark/1.10.172-neoforge/spark-1.10.172-neoforge.jar,https://github.com/lucko/spark,Mod dependency of spark / Included inside official TeaCon mod list
71,stoneworks,stoneworks-yI3EuefP.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/maven/modrinth/stoneworks/yI3EuefP/stoneworks-yI3EuefP.jar,,Mod dependency of stoneworks / Included inside official TeaCon mod list
72,T88,t88-26.1.2-1.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/extra/t88-26.1.2-1.6469d76f.jar,,Mod dependency of T88 / Managed by Biluochun
73,TeasupFlavorRequest 26.1.2,TeasupFlavorRequest-26.1.2-0.1.0+1.jar,client,,archive.teacon.cn,https://archive.teacon.cn/maven/cn/zbx1425/TeasupFlavorRequest-26.1.2/0.1.0%2B1/TeasupFlavorRequest-26.1.2-0.1.0%2B1.jar,,Mod dependency of TeasupFlavorRequest 26.1.2 / Included inside official TeaCon mod list
74,TetrachordLib,tetrachordlib-26.1+1.0.3.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/extra/tetrachordlib-26.1%2B1.0.3.6ec3aabc.jar,,Mod dependency of TetrachordLib / Managed by Biluochun
75,ThatSkyInteractions,thatskyinteractions-26.1.2-2.1.0-rc2.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-thatskyinteractions/thatskyinteractions-129.jar,,ThatSkyInteractions by ThatSkyMC / Build #129 / 本模组受游戏《光·遇》启发，将其部分玩家互动机制引入Minecraft。设计上延续原作中对非暴力互动的探
76,ToadSync NeoForge 26.1.2,ToadSync-NeoForge-26.1.2-0.2.4.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/ToadSync-NeoForge-26.1.2/0.2.4/ToadSync-NeoForge-26.1.2-0.2.4.jar,,Mod dependency of ToadSync NeoForge 26.1.2 / Included inside official TeaCon mod list
77,Valorant,valorant-1.0.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-valorant/valorant-9.jar,,Valorant by 一起来瓦 / Build #9 / 复刻了一些瓦罗兰特角色技能 / https://www.curseforge.com/minecraft/mc-mods/vlorant
78,VoteMe NeoForge 26.1.2,VoteMe-NeoForge-26.1.2-0.10.3.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/VoteMe-NeoForge-26.1.2/0.10.3/VoteMe-NeoForge-26.1.2-0.10.3.jar,,Mod dependency of VoteMe NeoForge 26.1.2 / Included inside official TeaCon mod list
79,V我50,vw50-1.0.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-vw50/vw50-8.jar,,V我50 by 手气最佳 / Build #8 / 老板大气！
80,WorldEditCUI NeoForge 26.1.2,WorldEditCUI-NeoForge-26.1.2-643d105.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/WorldEditCUI-NeoForge-26.1.2/643d105/WorldEditCUI-NeoForge-26.1.2-643d105.jar,https://github.com/zbx1425/WorldEditCUI-Arch,Mod dependency of WorldEditCUI NeoForge 26.1.2 / Included inside official TeaCon mod list
81,x3d map,x3d_map-1.0.13.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-x3d-map/x3d-map-64.jar,,"x3d map by xkball and ?, Ⅰ / Build #64 / 3d世界地图"
82,Xibao NeoForge 26.1,Xibao-NeoForge-26.1-5.0.2.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/Xibao-NeoForge-26.1/5.0.2/Xibao-NeoForge-26.1-5.0.2.jar,,Mod dependency of Xibao NeoForge 26.1 / Included inside official TeaCon mod list
83,XKDeco NeoForge 26.1.2,XKDeco-NeoForge-26.1.2-2.0.0.2.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/XKDeco-NeoForge-26.1.2/2.0.0.2/XKDeco-NeoForge-26.1.2-2.0.0.2.jar,,Mod dependency of XKDeco NeoForge 26.1.2 / Included inside official TeaCon mod list
84,YetAnotherConfigLib (YACL),yet_another_config_lib_v3-3.9.3+26.1-neoforge.efecea6b.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/extra/yet_another_config_lib_v3-3.9.3%2B26.1-neoforge.efecea6b.jar,https://github.com/isXander/YetAnotherConfigLib,Mod dependency of YetAnotherConfigLib (YACL) / Managed by Biluochun
85,万物皆可绳,super_lead-0.4.9-beta.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-super-lead/super-lead-56.jar,,万物皆可绳 by 众猫抬猫猫猫高 / Build #56 / 你有没有想过，拴绳除了拴猪，还能干点别的？ /  / 这个模组优化了原版拴绳——红石传导、能量输送、物品运输、流体流通，全都靠一根绳子搞定
86,中键标点,middle_key_ping-neoforge-26.1.2-2.0.0+pr.15.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-middle-key-ping/middle-key-ping-15.jar,,中键标点 by 铁砧工艺开发组-中键标点 / Build #15 / 《Minecraft》的世界很大，大到两个人的相遇往往只差一句“我在哪儿”。我们习惯了打字、开语音、甚至用力跳起来挥剑来吸引注意。
87,书信，信号，电话,letter_signal_phone-1.0.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-letter-signal-phone/letter-signal-phone-14.jar,,书信，信号，电话 by 镭射牌 / Build #14 / 本模组以玩家之间的通讯方式为主，目前包含“书信”，“电报”，“打电话”等主要方式。此外，加入了收集邮票的系统。
88,以太工艺,ether_craft-0.4.1_mc26.1.2.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-ether-craft/ether-craft-106.jar,,以太工艺 by FantasyIT Studio / Build #106 / 《Minecraft》原版的物流与自动化常局限于漏斗、矿车和红石，而这个模组围绕“以太”这一核心资源，构建了一套全新的科
89,伊卡洛斯之翼,locusazzurro_icaruswings-26.1.2-0.7.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-locusazzurro-icaruswings/locusazzurro-icaruswings-36.jar,,"伊卡洛斯之翼 by 踢炕空域管制中心 / Build #36 / A story about bees, feather and the sky. A testament to human ingen"
90,会饮,repo-26.1.2-3.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-convivium/convivium-197.jar,,会饮 by IEEM 9v8 Trivium Society / Build #197 / “会饮”，是古希腊社会普遍流行的一种习俗，即人们在宴会上通过歌颂诸神和饮酒举行庆祝。而中国自古就有以酒会友，
91,伤害枢纽,damagenexus-0.1.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-damagenexus/damagenexus-45.jar,,伤害枢纽 by Damage Rebuilder / Build #45 / DamageNexus 是一个 NeoForge 伤害管线重构框架：它将原版伤害拆入可数据驱动的伤害通道、应用桶、阶段处理
92,傀儡装配（Modular Golems）,modulargolems-26.1.2.0+12+dungeon.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-modulargolems/modulargolems-97.jar,https://github.com/Minecraft-LightLand/ModularGolems,傀儡装配（Modular Golems） by LightLand / Build #97 / 傀儡装配（Modular Golems），直译模块化傀儡，这是一个以创造傀儡为主题的模组。 / 它增加了
93,八角,anisum-neoforge-26.1.2-0.0.1+build.18.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-anisum/anisum-18.jar,,八角 by 八角开发组 / Build #18 / 《Minecraft》的创造模式物品栏，是一个诞生了十多年的老地方。它的规则很简单：方块、物品、工具，分门别类，排好，等你来取。但当模组把越来越多的
94,兰法斯：本德森之章,lanfasie_benderson-0.1.1.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-lanfasie-benderson/lanfasie-benderson-45.jar,,兰法斯：本德森之章 by 银小明绝赞爆肝中 / Build #45 / “不祥的气息正从深渊中泄漏，被黑之恶念裹挟着的身影，在狩猎着什么吗？在等待着什么吗？”  / 全新强敌 “深潜空域的团魂” 登场
95,动态的树,dynamictrees-neoforge-26.1.2-1.8.0-BETA03.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-dynamictrees/dynamictrees-7.jar,https://github.com/DynamicTreesTeam/DynamicTrees,动态的树 by 动态的树开发社区（代参展） / Build #7 / 在尊重 Minecraft 图形风格的同时，创造更具动感、美观、有趣和自然外观的树木，并严格控制项目范围，保持简单。 / ----
