#,Mod名,文件名,端,下载源,下载链接
45,NeoMystiasIzakaya,neo_mystias_izakaya-neoforge-26.1.6.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-neo-mystias-izakaya/neo-mystias-izakaya-67.jar
46,NetherLink,netherlink-26.1.2-neoforge-0.1.0-tc.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-netherlink/netherlink-19.jar
47,NotEnoughBandwidth NeoForge 26.1,NotEnoughBandwidth-NeoForge-26.1-0.2.20.jar,both,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/NotEnoughBandwidth-NeoForge-26.1/0.2.20/NotEnoughBandwidth-NeoForge-26.1-0.2.20.jar
48,nowaterupdate,nowaterupdate-26.1.2-1.jar,both,archive.teacon.cn,https://archive.teacon.cn/maven/cn/uss-shenzhou/nowaterupdate/26.1.2-1/nowaterupdate-26.1.2-1.jar
49,ObeliskDepths,ObeliskDepths-NeoForge-26.1.2.87-0.0.1-0.0.1.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-obeliskdepths/obeliskdepths-43.jar
50,Orga's AutoSprint,autosprint-0.org-itk.0.1.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-autosprint/autosprint-6.jar
51,Phone Generator,phone_generator-1.0.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-phone-generator/phone-generator-22.jar
52,PowerTool NeoForge 26.1,PowerTool-NeoForge-26.1-1.5.30.jar,both,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/PowerTool-NeoForge-26.1/1.5.30/PowerTool-NeoForge-26.1-1.5.30.jar
53,ProjectMe 26.1.2,ProjectMe-26.1.2-0.5.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/maven/cn/zbx1425/ProjectMe-26.1.2/0.5.0/ProjectMe-26.1.2-0.5.0.jar
54,puzzles lib,puzzles-lib-26.1.11.jar,both,archive.teacon.cn,https://archive.teacon.cn/maven/maven/modrinth/puzzles-lib/26.1.11/puzzles-lib-26.1.11.jar
55,Shake n Stir,shakenstir-1.0.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-shakenstir/shakenstir-63.jar
56,SignMeUp NeoForge 26.1,SignMeUp-NeoForge-26.1-1.1.12.jar,both,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/SignMeUp-NeoForge-26.1/1.1.12/SignMeUp-NeoForge-26.1-1.1.12.jar
57,Sip Moment,sip_moment-1.0.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-sip-moment/sip-moment-14.jar
58,SlideShow NeoForge 26.1.2,SlideShow-NeoForge-26.1.2-0.10.11.jar,both,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/SlideShow-NeoForge-26.1.2/0.10.11/SlideShow-NeoForge-26.1.2-0.10.11.jar
59,spark,spark-1.10.172-neoforge.jar,both,archive.teacon.cn,https://archive.teacon.cn/maven/maven/modrinth/spark/1.10.172-neoforge/spark-1.10.172-neoforge.jar
